feed,user,description,likes
Splatoon,@wanderlingworld.bsky.social,"Pulls from keyworks associated with Splatoon. #splatoon or #splatoon3 will definitely get you in. Please Pin, Like and Share to help get the feed discovered!",846
Photography 🟡,@gabriellanonino.com,"A springboard for all professional and amateur photographers on Bluesky. The feed includes digital photography, Polaroids, black & white, 35mm, pinhole, analogue. To be featured tag your image with #photography, or any other relevant hashtag.",831
#nba,@skyfeed.xyz,Posts with #nba from the whole network,828
Premier League Football,@852dude.bsky.social,Updated EPL Feed with 400+ Keywords across all 20 clubs.,827
Moss 🟢,@feeds.hilarybaumann.com,"This is a nature feed featuring green mossy photography. 

A moment of Zen.

Don't forget to lichen subscribe. 😎(Pin this feed.)

Moss / mossy in text or alt text will often get you into the feed. (Moos in German temp removed.)

MossFeed for Bluesky created by @hilarybaumann.com",820
Photography,@bsky.art,"Showcasing photography posts from users across BlueSky. Sorted by a combination of new, rising and trending posts.",816
💪🕹️FGCSKY,@experimilk.bsky.social,"This is a feed to discover posts related to your favorite fighting games! If you want to guarantee your post shows up, use the emoji combo 💪🕹️

If you feel a post or a game should be showing up in this feed, please let me know! I want to add everything that people talk about here.",814
🔥日本語,@jaz.bsky.social,過去 1 日で最も話題になった投稿 (日本語版),806
Himbofeed,@zig.computer,Himbofeed is an opt-in feed showing only the primary posts (no replies or reposts) of its members. Contact @zig.computer to be added.,806
furryart / Furry art,@floofart.bsky.social,"<200 followers furry/animals artists shared by EnoTheArtSharer
[last update 27 feb 2025]
[the arts are sfw, the profiles are not necessarily]
Feeds / FAQ / Updates: https://enofeeds.carrd.co/",805
Democrats,@davidsacerdote.bsky.social,"Elected officials, DNC members, state party members, and other prominent Democrats.

Sorted to show recently-popular posts at the top.

Based on this list:
https://bsky.app/profile/davidsacerdote.bsky.social/lists/3lcj7k6d7jt2t
Ask to be included.

Like & Pin this feed so you & others can find it",804
Hentai Illust・エロ絵🔞,@amot0t.bsky.social,"Feed with only NSFW illustrations
No special tendencies

NSFWのついたイラストのみのフィード
特殊性癖なし

ecchi/adult/porn/art/えっち/アダルト",804
Memes,@jakei.bsky.social,"Meme feed - all most recent posts with a picture with ""meme"" in the alt text",800
Trending,@numb.comfortab.ly,Top 10 most reposted posts for the last 3 hours,799
Signal Boost,@sweetbee.vip,"Feed for anything that needs an extra signal boost or that you want to get in front of more people.

Anyone can use #SignalBoost on any post to show up here",783
Best NSFW Art 18+,@gvellav.bsky.social,"This is a curated list of rule34/lewd artists I like. 
NO AI, NO NFTs, NO extreme fetishes

Rule 34, NSFW, hentai, yaoi, furry, trans, etc - you name it. The only thing that matters is my subjective art tastes. 
DM me if you want to be added/removed

Tip me @ https://ko-fi.com/gvellav",781
Yuri / 百合 / 백합,@yuri.senpai.social,"A feed for Yuri / 百合 / 백합 genre.

Add #Yuri or #百合 or #백합 to your image, video and links posts to automatically be picked up by the feed!

Disable language filters for the best experience.",775
Bsky Book Club,@andraste.fuckbgp.com,"Let's talk about what we're reading, and share it with the class!

use 📚👀 to get posts into the feed",764
Bluesky Night Market,@davis.social,"We're trying out a Bluesky indie art market! Indie artists/crafters/etc, skeet what you're selling with pics/links/etc and include #bsnm to share your wares in the market. 

alt hashtags:
#BlueskyNightMarket
#BskyNightMarket
#NightMarket",755
Teams,@retr0.id,"There are 256 teams. You've been assigned one at random, and this feed contains the posts of your teammates.",752
Godot 💙,@steinmakesgames.bsky.social,"Godot Engine posts for game dev. Sorted by a mix of most poular and recent. Combines hashtags and keywords like #godot, #godotengine, #gdscript, (godot + #gamedev) etc. Full explanation: https://bsky.app/profile/steinmakesgames.bsky.social/post/3lbflpe4xpc24

Remember to 💙 the feed!",747
Hotties (MTS),@tinasnoww.bsky.social,"A feed for fans of 3x Grammy winning rapstar, Megan Thee Stallion!


Keywords to appear in this feed: Megan Thee Stallion, #hotties, #megantheestallion, #hottiesky",741
Latest From Mutuals,@why.bsky.team,Most recent posts by your mutuals,727
#EduSky 🍎,@afreeparticle.com,"A feed for discussion related to education.

This feed filters #EduSky posts to help prioritize conversations related to education & teaching.

If you follow @afreeparticleemoji.bsky.social you can use 🍎 to post to the feed.",722
Feed Paranormal,@apogrifa.tripazeada.club,"CAPA POR @ivandala.bsky.social. 

Use as tags #ordemparanormal, #aop, #osnf, #sdol, #desconjuracao, #opquarentena, #calamidade, #opq ou #oshippparanormal.

Caso apareça alguma publicação com xingamentos aos players ou relacionados à situações externas, o usuário será banido de utilizar o feed.",721
Indie Devs & Games,@patrickhenschel.de,"Pure #IndieDev #IndieGame #SoloDev #IndieGameDev #IndieDeveloper feed.

Let's bring Game Dev together.

♥️ 4 Indie Games!",716
Gaming,@sweetbee.vip,"All-inclusive, chronological video games feed, picks up various gaming and gamer related keywords, also including video game fanart, game news, & esports.

Use  🎮, 🕹️, #gaming #gamer #gamergirl or #gaymer to easily include any post

@ me to suggest changes",715
NSFW BlueSky 🔞,@noire.gg,"The Official NSFW BlueSky Feed! 𝟭𝟴+ 𝗢𝗻𝗹𝘆!
Be sure to enable 'NSFW' in Moderation settings to see more!
Posts hold for 7 days! New posts every minute! 

Tags: #nsfwsky #nsfwbsky #nsfwbluesky #blueskynsfw

(follow @noire.gg for updates!)",697
