feed,user,description,likes
Discover,@skyfeed.xyz,"Posts you might enjoy, based on your likes. Full algorithm: https://skyfeed.xyz/queries","3,349"
SciArt 🐡,@flyingtrilobite.com,"🔸The intersection of art + science.
🔸Medical illustration, fine art, paleoart, web comics, space art, bioart, & more. 
🔸Contributors: use #SciArt or 🐡  in post or alt text for posts to appear.
🚫No AI/NFTs
🔹Curated by @FlyingTrilobite.com | Thank you @blueappaloosa.bsky.social !","3,258"
MLB+,@parkermolloy.com,Baseball talk on Bluesky.,"3,236"
AcademicSky,@markrubin.bsky.social,"Tag = #AcademicSky

academia | academic chatter | academic jobs | higher education | scholarship | science | university

(If you like the feed, then please 💓 it!)","3,212"
Catch Up,@skyfeed.xyz,Most popular posts from the last 24 hours,"3,198"
GreenSky,@ketanjoshi.co,"A big list of climate accounts, filtered loosely for keywords. Fill in the form if you want in! All details and full member list here:

https://docs.google.com/spreadsheets/d/1QSghRrJxr7tWAGi9Shpwc6QMG5iSnJrNAW9alkHY8kw/edit#gid=0","3,183"
Notícias do Momento,@farofa.com.br,"Noticias das últimas 24 horas, de fontes confiáveis  e canais oficiais do BlueSky


Criado por @farofa.com.br","2,998"
Home+,@memgraph.com,"Its the Home feed Blue Sky was missing until now: A feed that shows those you care about, and adds interesting content from your extended social circles giving you a familiar, twitter home like experience","2,983"
Likes,@jcsalterego.bsky.social,Your Likes. See more at https://goodfeeds.co/likes,"2,940"
MusicSky,@cookieduh.xyz,"MusicSky is a feed for music lovers . This feed populates posts with the Hashtag #MusicSky and Posts from users on the MusicSky list with Hashtags #NowPlaying , #NowLooping , #CLT ,#NowSpinning or Bsky Radio or STEMSongs. If you would like to be added to this Feed , CC @krisk.xyz using #AddMusicSky","2,932"
Art: New Posts,@wanderlingworld.bsky.social,"A feed for new human made art posts. Filters out AI/NFTs. Use #art to post. Pulls from a growing list of popular art hashtags. Please Pin, Like and Share to help the feed get discovered!","2,889"
SciFi-Fantasy-SpecFic 🪐📚,@clarabelle.xyz,"For discussion of your favorite science fiction/sci-fi/scifi, fantasy or speculative fiction/specfic books! Use 🪐📚 or 📚🪐 to post to feed. More #booksky feeds 👉🏻 booksky.club/list","2,883"
NHL,@hockeyhotline.bsky.social,"Welcome to the official BlueSky NHL Feed, created by The Hockey Hotline","2,784"
What's History 🗃️,@rauchway.bsky.social,Posts by historians using 🗃 or skystorians; @rauchway.bsky.social to be added as poster. https://erauchway.github.io/posts/bsky/,"2,782"
🇺🇦 #UkrainianView,@bsky.one,Posts from Ukrainians about Ukraine and their experience during the war. #UkrainianView #UkrainianExperience #UaView.,"2,769"
Bluesky Ñ,@ealmuina.xyz,Posts de Bluesky en español // Bluesky posts in Spanish,"2,568"
Taylor Swift Feed,@heheviolet.bsky.social,"Feed of just posts including the name ""Taylor Swift""!!","2,472"
🐾 Art 🧼,@furryli.st,"Furry
Posts by furries with #furryart and that haven't been marked NSFW.

Join the furry feeds by following @furryli.st","2,401"
FitnessSky,@sammyouatts.bsky.social,"Welcome to the Bluesky Fitness Community! 👟💪🦋

This feed is for anyone who prioritizes health & wellness! Come connect with others and post your workouts, diets, tips, & progress at the gym.

For visibility, use: #fitnesssky, #gymsky, or #healthsky in your posts. Like, pin, and share the feed! ❤️📌 ↻","2,184"
FashionSky,@sammyouatts.bsky.social,"Welcome to the official Bluesky Fashion Community! 🪡🦋🤍

This feed is for anyone who loves and is interested in fashion! Come and connect with others and post anything fashion. 
 
For visibility, add #fashionsky to your posts. Don't forget to like, pin, & share the feed! ❤️📌↻

⬇️ Click & see who liked!","2,106"
Gay Porn (Most Likes),@maxsail.bsky.social,"Check out the most popular gay porn posts from the past week.

To feature, use the hashtag #gayporn or #gay in your post.","2,084"
Discover Art!,@davis.social,"A randomly sorted feed for #art posts with fewer than 20 likes.

Note: #art can be in the text or alt text!

*Limited to 3 days of history!*

*No AI/NFT","2,026"
Art: Commissions,@wanderlingworld.bsky.social,Feed of artists open for commissions. Use #commissions or #artcommissions. Filters out AI/NFTs.,"2,020"
Photography 📷,@rodrigobarrero.bsky.social,Pictures from the entire network tagged with the #photography and #fotografia hashtag,"1,980"
Newskies,@flicknow.xyz,First posts from new users,"1,958"
Writing Community,@whistberry.bsky.social,"Writing Community

Will collect posts with hashtag #writingcommunity, #writerscommunity, #writer(s)","1,958"
PopSky (Pop Culture 💅😭💀),@nahuel.bsky.social,"#popsky to show up in the feed. The feed pulls lots of keywords/accounts like popbase so it might get buried (posts are weighed by recency and likes). DM @nahuel with feedback. Hoping eventually to prioritize #popsky as more users join! 

Onika Burgers Charli XBox Flopianna Grande","1,928"
Marine Life! 🦑,@daryllmarie.bsky.social,"Marine critters galore! Users must be added to the contributor list to be able to post to the feed. 
More info: https://blueskyfeedcreator.com/p/daryllmarie.bsky.social/aaacjerk7gwek","1,925"
