tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,activity_range,target
31522.0,0.0,-1.6503708624525149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
33644.5,2122.5,-1.6443222250020635,31522.0,0.0,-1.6503708624525149,0.0,0.0,2122.5,0.006048637450451366,0.0,0,0.0
35767.0,2122.5,-1.6477685086930323,33644.5,2122.5,-1.6443222250020635,0.0,0.0,0.0,-0.0034462836909687766,0.0,0,0.0
37889.5,2122.5,-1.6494148740842474,35767.0,2122.5,-1.6477685086930323,1591.875,-1.6479691175579645,0.0,-0.0016463653912150988,0.0,0,0.0
40012.0,2122.5,-1.6466521364781852,37889.5,2122.5,-1.6494148740842474,2122.5,-1.6470394360643819,0.0,0.00276273760606216,0.0,0,0.0
44295.0,4283.0,-1.647838456048195,40012.0,2122.5,-1.6466521364781852,2662.625,-1.647918493825915,2160.5,-0.0011863195700096973,0.0,0,0.0
48578.0,4283.0,-1.655168184467446,44295.0,4283.0,-1.647838456048195,3202.75,-1.6497684127695185,0.0,-0.007329728419251058,0.0,0,0.0
52861.0,4283.0,-1.653241504457126,48578.0,4283.0,-1.655168184467446,3742.875,-1.650725070362738,0.0,0.0019266800103199255,0.0,0,0.0
57144.0,4283.0,-1.6558711779113149,52861.0,4283.0,-1.653241504457126,4283.0,-1.6530298307210203,0.0,-0.0026296734541888522,0.0,0,0.0
61427.0,4283.0,-1.6563789073170534,57144.0,4283.0,-1.6558711779113149,4283.0,-1.6551649435382352,0.0,-0.0005077294057385107,0.0,0,0.0
65710.0,4283.0,-1.65780068656042,61427.0,4283.0,-1.6563789073170534,4283.0,-1.6558230690614786,0.0,-0.0014217792433666165,0.0,0,0.0
69993.0,4283.0,-1.655073572234828,65710.0,4283.0,-1.65780068656042,4283.0,-1.656281086005904,0.0,0.0027271143255920283,0.0,0,0.0
74276.0,4283.0,-1.666692724751007,69993.0,4283.0,-1.655073572234828,4283.0,-1.6589864727158272,0.0,-0.011619152516179065,0.0,0,0.0
78559.0,4283.0,-1.667618566605686,74276.0,4283.0,-1.666692724751007,4283.0,-1.6617963875379853,0.0,-0.0009258418546789215,0.0,0,0.0
82842.0,4283.0,-1.6654489250416404,78559.0,4283.0,-1.667618566605686,4283.0,-1.6637084471582904,0.0,0.0021696415640455324,0.0,0,0.0
87125.0,4283.0,-1.6655790781485984,82842.0,4283.0,-1.6654489250416404,4283.0,-1.666334823636733,0.0,-0.00013015310695796423,0.0,0,0.0
91408.0,4283.0,-1.6638125245010142,87125.0,4283.0,-1.6655790781485984,4283.0,-1.6656147735742346,0.0,0.001766553647584157,0.0,0,0.0
95691.0,4283.0,-1.6640306885548455,91408.0,4283.0,-1.6638125245010142,4283.0,-1.6647178040615245,0.0,-0.00021816405383123794,0.0,0,0.0
99974.0,4283.0,-1.659586765821228,95691.0,4283.0,-1.6640306885548455,4283.0,-1.6632522642564216,0.0,0.004443922733617489,0.0,0,0.0
