tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,activity_range,target
31522.0,0.0,-1.6503708624525146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
33644.5,2122.5,-1.644322225002064,31522.0,0.0,-1.6503708624525146,0.0,0.0,2122.5,0.0060486374504507,0.0,0,0.0
35767.0,2122.5,-1.6477685086930325,33644.5,2122.5,-1.644322225002064,0.0,0.0,0.0,-0.0034462836909685546,0.0,0,0.0
37889.5,2122.5,-1.6494148740842476,35767.0,2122.5,-1.6477685086930325,1591.875,-1.6479691175579647,0.0,-0.0016463653912150988,0.0,0,0.0
40012.0,2122.5,-1.6466521364781859,37889.5,2122.5,-1.6494148740842476,2122.5,-1.6470394360643825,0.0,0.002762737606061716,0.0,0,0.0
44295.0,4283.0,-1.6478384560481953,40012.0,2122.5,-1.6466521364781859,2662.625,-1.6479184938259155,2160.5,-0.0011863195700094753,0.0,0,0.0
48578.0,4283.0,-1.6551681844674464,44295.0,4283.0,-1.6478384560481953,3202.75,-1.649768412769519,0.0,-0.007329728419251058,0.0,0,0.0
52861.0,4283.0,-1.6532415044571265,48578.0,4283.0,-1.6551681844674464,3742.875,-1.6507250703627385,0.0,0.0019266800103199255,0.0,0,0.0
57144.0,4283.0,-1.6558711779113149,52861.0,4283.0,-1.6532415044571265,4283.0,-1.6530298307210207,0.0,-0.002629673454188408,0.0,0,0.0
61427.0,4283.0,-1.6563789073170538,57144.0,4283.0,-1.6558711779113149,4283.0,-1.6551649435382352,0.0,-0.0005077294057389548,0.0,0,0.0
65710.0,4283.0,-1.6578006865604202,61427.0,4283.0,-1.6563789073170538,4283.0,-1.655823069061479,0.0,-0.0014217792433663945,0.0,0,0.0
69993.0,4283.0,-1.6550735722348282,65710.0,4283.0,-1.6578006865604202,4283.0,-1.6562810860059043,0.0,0.0027271143255920283,0.0,0,0.0
74276.0,4283.0,-1.666692724751007,69993.0,4283.0,-1.6550735722348282,4283.0,-1.6589864727158274,0.0,-0.011619152516178843,0.0,0,0.0
78559.0,4283.0,-1.6676185666056866,74276.0,4283.0,-1.666692724751007,4283.0,-1.6617963875379855,0.0,-0.0009258418546795877,0.0,0,0.0
82842.0,4283.0,-1.6654489250416407,78559.0,4283.0,-1.6676185666056866,4283.0,-1.6637084471582906,0.0,0.0021696415640459765,0.0,0,0.0
87125.0,4283.0,-1.6655790781485988,82842.0,4283.0,-1.6654489250416407,4283.0,-1.6663348236367332,0.0,-0.00013015310695818627,0.0,0,0.0
91408.0,4283.0,-1.6638125245010145,87125.0,4283.0,-1.6655790781485988,4283.0,-1.665614773574235,0.0,0.001766553647584379,0.0,0,0.0
95691.0,4283.0,-1.6640306885548457,91408.0,4283.0,-1.6638125245010145,4283.0,-1.664717804061525,0.0,-0.00021816405383123794,0.0,0,0.0
99974.0,4283.0,-1.6595867658212287,95691.0,4283.0,-1.6640306885548457,4283.0,-1.663252264256422,0.0,0.004443922733617045,0.0,0,0.0
100696.5,722.5,-1.6605935247507686,99974.0,4283.0,-1.6595867658212287,3392.875,-1.6620058759069645,-3560.5,-0.0010067589295399415,0.0,0,0.0
101419.0,722.5,-1.6651371787989941,100696.5,722.5,-1.6605935247507686,2502.75,-1.6623370394814594,0.0,-0.004543654048225543,0.0,0,0.0
