tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,target
31522.0,0.0,-1.6503708624525264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.5
33644.5,2122.5,-1.6443222250020657,31522.0,0.0,-1.6503708624525264,0.0,0.0,2122.5,0.006048637450460692,0.0,2122.5
35767.0,2122.5,-1.6477685086930345,33644.5,2122.5,-1.6443222250020657,0.0,0.0,0.0,-0.0034462836909687766,0.0,2122.5
37889.5,2122.5,-1.649414874084249,35767.0,2122.5,-1.6477685086930345,1591.875,-1.647969117557969,0.0,-0.0016463653912144327,0.0,2122.5
40012.0,2122.5,-1.646652136478187,37889.5,2122.5,-1.649414874084249,2122.5,-1.647039436064384,0.0,0.002762737606061938,0.0,4283.0
44295.0,4283.0,-1.6478384560481965,40012.0,2122.5,-1.646652136478187,2662.625,-1.6479184938259168,2160.5,-0.0011863195700094753,0.0,4283.0
48578.0,4283.0,-1.655168184467448,44295.0,4283.0,-1.6478384560481965,3202.75,-1.64976841276952,0.0,-0.007329728419251502,0.0,4283.0
52861.0,4283.0,-1.6532415044571278,48578.0,4283.0,-1.655168184467448,3742.875,-1.6507250703627396,0.0,0.0019266800103201476,0.0,4283.0
57144.0,4283.0,-1.6558711779113164,52861.0,4283.0,-1.6532415044571278,4283.0,-1.6530298307210223,0.0,-0.00262967345418863,0.0,4283.0
61427.0,4283.0,-1.6563789073170556,57144.0,4283.0,-1.6558711779113164,4283.0,-1.655164943538237,0.0,-0.0005077294057391768,0.0,4283.0
65710.0,4283.0,-1.6578006865604218,61427.0,4283.0,-1.6563789073170556,4283.0,-1.6558230690614804,0.0,-0.0014217792433661725,0.0,4283.0
69993.0,4283.0,-1.65507357223483,65710.0,4283.0,-1.6578006865604218,4283.0,-1.6562810860059058,0.0,0.0027271143255918062,0.0,4283.0
74276.0,4283.0,-1.6666927247510088,69993.0,4283.0,-1.65507357223483,4283.0,-1.658986472715829,0.0,-0.011619152516178843,0.0,4283.0
78559.0,4283.0,-1.6676185666056875,74276.0,4283.0,-1.6666927247510088,4283.0,-1.661796387537987,0.0,-0.0009258418546786995,0.0,4283.0
82842.0,4283.0,-1.665448925041642,78559.0,4283.0,-1.6676185666056875,4283.0,-1.6637084471582921,0.0,0.0021696415640455324,0.0,4283.0
87125.0,4283.0,-1.6655790781486006,82842.0,4283.0,-1.665448925041642,4283.0,-1.6663348236367348,0.0,-0.00013015310695863036,0.0,4283.0
91408.0,4283.0,-1.6638125245010162,87125.0,4283.0,-1.6655790781486006,4283.0,-1.6656147735742366,0.0,0.001766553647584379,0.0,4283.0
95691.0,4283.0,-1.664030688554847,91408.0,4283.0,-1.6638125245010162,4283.0,-1.6647178040615265,0.0,-0.00021816405383079385,0.0,4283.0
99974.0,4283.0,-1.6595867658212302,95691.0,4283.0,-1.664030688554847,4283.0,-1.6632522642564234,0.0,0.004443922733616823,0.0,722.5
100696.5,722.5,-1.66059352475077,99974.0,4283.0,-1.6595867658212302,3392.875,-1.6620058759069658,-3560.5,-0.0010067589295397195,0.0,722.5
101419.0,722.5,-1.665137178798996,100696.5,722.5,-1.66059352475077,2502.75,-1.6623370394814607,0.0,-0.004543654048225987,0.0,722.5
102141.5,722.5,-1.6714545492403385,101419.0,722.5,-1.665137178798996,1612.625,-1.6641930046528337,0.0,-0.006317370441342618,0.0,722.5
102864.0,722.5,-1.658546229998458,102141.5,722.5,-1.6714545492403385,722.5,-1.6639328706971406,0.0,0.012908319241880628,0.0,722.5
103586.5,722.5,-1.6626453850720722,102864.0,722.5,-1.658546229998458,722.5,-1.664445835777466,0.0,-0.004099155073614247,0.0,722.5
104309.0,722.5,-1.666985695759074,103586.5,722.5,-1.6626453850720722,722.5,-1.6649079650174858,0.0,-0.004340310687001914,0.0,1486.0
105795.0,1486.0,-1.6663473004865497,104309.0,722.5,-1.666985695759074,913.375,-1.6636311528290384,763.5,0.0006383952725244058,0.0,1486.0
107281.0,1486.0,-1.6701408659028503,105795.0,1486.0,-1.6663473004865497,1104.25,-1.6665298118051366,0.0,-0.003793565416300604,0.0,1486.0
108767.0,1486.0,-1.6716424990326766,107281.0,1486.0,-1.6701408659028503,1295.125,-1.6687790902952877,0.0,-0.0015016331298263186,0.0,1486.0
110253.0,1486.0,-1.6340488675060738,108767.0,1486.0,-1.6716424990326766,1486.0,-1.6605448832320375,0.0,0.03759363152660278,0.0,1486.0
111739.0,1486.0,-1.6609455988767323,110253.0,1486.0,-1.6340488675060738,1486.0,-1.6591944578295832,0.0,-0.02689673137065851,0.0,908.0
112647.0,908.0,-1.6611951235114284,111739.0,1486.0,-1.6609455988767323,1341.5,-1.656958022231728,-578.0,-0.00024952463469607444,0.0,908.0
113555.0,908.0,-1.6623468247827178,112647.0,908.0,-1.6611951235114284,1197.0,-1.654634103669238,0.0,-0.0011517012712893848,0.0,908.0
114463.0,908.0,-1.6594537216030831,113555.0,908.0,-1.6623468247827178,1052.5,-1.6609853171934903,0.0,0.0028931031796346485,0.0,1969.6666666666715
116432.66666666669,1969.6666666666715,-1.6625106221285886,114463.0,908.0,-1.6594537216030831,1173.4166666666679,-1.6613765730064545,1061.6666666666715,-0.003056900525505446,0.0,1969.666666666657
118402.33333333331,1969.666666666657,-1.6645261916511904,116432.66666666669,1969.6666666666715,-1.6625106221285886,1438.8333333333321,-1.662209340041395,-1.4551915228366852e-11,-0.0020155695226018455,0.0,1969.6666666666715
120372.0,1969.6666666666715,-1.66072280247416,118402.33333333331,1969.666666666657,-1.6645261916511904,1704.25,-1.6618033344642555,1.4551915228366852e-11,0.0038033891770303807,0.0,2496.777777777781
122868.77777777778,2496.777777777781,-1.657196313822907,120372.0,1969.6666666666715,-1.66072280247416,2101.4444444444453,-1.6612389825192115,527.1111111111095,0.0035264886512529348,0.0,2496.777777777781
125365.55555555556,2496.777777777781,-1.6455054209750464,122868.77777777778,2496.777777777781,-1.657196313822907,2233.2222222222226,-1.656987682230826,0.0,0.011690892847860734,0.0,2496.7777777777665
127862.33333333331,2496.7777777777665,-1.6456767291865257,125365.55555555556,2496.777777777781,-1.6455054209750464,2365.0,-1.6522753166146598,-1.4551915228366852e-11,-0.0001713082114793707,0.0,2496.777777777781
130359.11111111112,2496.777777777781,-1.6447095360900326,127862.33333333331,2496.7777777777665,-1.6456767291865257,2496.7777777777774,-1.648272000018628,1.4551915228366852e-11,0.0009671930964931796,0.0,2496.7777777777665
132855.88888888888,2496.7777777777665,-1.6557308784501583,130359.11111111112,2496.777777777781,-1.6447095360900326,2496.7777777777737,-1.647905641175441,-1.4551915228366852e-11,-0.011021342360125752,0.0,2496.777777777781
135352.66666666666,2496.777777777781,-1.6623359395912933,132855.88888888888,2496.7777777777665,-1.6557308784501583,2496.7777777777737,-1.6521132708295023,1.4551915228366852e-11,-0.006605061141135016,0.0,2496.777777777781
137849.44444444444,2496.777777777781,-1.657856677244494,135352.66666666666,2496.777777777781,-1.6623359395912933,2496.7777777777774,-1.6551582578439947,0.0,0.004479262346799295,0.0,2496.777777777781
140346.22222222222,2496.777777777781,-1.658645944240452,137849.44444444444,2496.777777777781,-1.657856677244494,2496.7777777777774,-1.6586423598815996,0.0,-0.0007892669959579379,0.0,2496.777777777781
