tot_users,new_users,activity_score_pca,users_lag1,new_users_lag1,activity_lag1,new_users_ma7,activity_ma7,new_users_diff,activity_diff,impact_score,target
31522.0,0.0,-1.6503708624525197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.5
33644.5,2122.5,-1.6443222250020644,31522.0,0.0,-1.6503708624525197,0.0,0.0,2122.5,0.006048637450455363,0.0,2122.5
35767.0,2122.5,-1.647768508693033,33644.5,2122.5,-1.6443222250020644,0.0,0.0,0.0,-0.0034462836909685546,0.0,2122.5
37889.5,2122.5,-1.6494148740842485,35767.0,2122.5,-1.647768508693033,1591.875,-1.6479691175579663,0.0,-0.001646365391215543,0.0,2122.5
40012.0,2122.5,-1.646652136478186,37889.5,2122.5,-1.6494148740842485,2122.5,-1.647039436064383,0.0,0.002762737606062382,0.0,4283.0
44295.0,4283.0,-1.6478384560481953,40012.0,2122.5,-1.646652136478186,2662.625,-1.6479184938259155,2160.5,-0.0011863195700092533,0.0,4283.0
48578.0,4283.0,-1.655168184467447,44295.0,4283.0,-1.6478384560481953,3202.75,-1.6497684127695191,0.0,-0.007329728419251724,0.0,4283.0
52861.0,4283.0,-1.653241504457127,48578.0,4283.0,-1.655168184467447,3742.875,-1.650725070362739,0.0,0.0019266800103201476,0.0,4283.0
57144.0,4283.0,-1.6558711779113158,52861.0,4283.0,-1.653241504457127,4283.0,-1.6530298307210214,0.0,-0.0026296734541888522,0.0,4283.0
61427.0,4283.0,-1.6563789073170543,57144.0,4283.0,-1.6558711779113158,4283.0,-1.655164943538236,0.0,-0.0005077294057385107,0.0,4283.0
65710.0,4283.0,-1.657800686560421,61427.0,4283.0,-1.6563789073170543,4283.0,-1.6558230690614795,0.0,-0.0014217792433666165,0.0,4283.0
69993.0,4283.0,-1.655073572234829,65710.0,4283.0,-1.657800686560421,4283.0,-1.656281086005905,0.0,0.0027271143255918062,0.0,4283.0
74276.0,4283.0,-1.6666927247510082,69993.0,4283.0,-1.655073572234829,4283.0,-1.6589864727158283,0.0,-0.011619152516179065,0.0,4283.0
78559.0,4283.0,-1.6676185666056866,74276.0,4283.0,-1.6666927247510082,4283.0,-1.6617963875379862,0.0,-0.0009258418546784775,0.0,4283.0
82842.0,4283.0,-1.6654489250416413,78559.0,4283.0,-1.6676185666056866,4283.0,-1.6637084471582915,0.0,0.0021696415640453104,0.0,4283.0
87125.0,4283.0,-1.6655790781485993,82842.0,4283.0,-1.6654489250416413,4283.0,-1.666334823636734,0.0,-0.00013015310695796423,0.0,4283.0
91408.0,4283.0,-1.663812524501015,87125.0,4283.0,-1.6655790781485993,4283.0,-1.6656147735742355,0.0,0.001766553647584379,0.0,4283.0
95691.0,4283.0,-1.6640306885548464,91408.0,4283.0,-1.663812524501015,4283.0,-1.6647178040615256,0.0,-0.00021816405383145998,0.0,4283.0
99974.0,4283.0,-1.6595867658212293,95691.0,4283.0,-1.6640306885548464,4283.0,-1.6632522642564225,0.0,0.004443922733617045,0.0,722.5
100696.5,722.5,-1.6605935247507697,99974.0,4283.0,-1.6595867658212293,3392.875,-1.6620058759069651,-3560.5,-0.0010067589295403856,0.0,722.5
101419.0,722.5,-1.665137178798995,100696.5,722.5,-1.6605935247507697,2502.75,-1.66233703948146,0.0,-0.004543654048225321,0.0,722.5
102141.5,722.5,-1.6714545492403374,101419.0,722.5,-1.665137178798995,1612.625,-1.6641930046528328,0.0,-0.006317370441342396,0.0,722.5
102864.0,722.5,-1.6585462299984566,102141.5,722.5,-1.6714545492403374,722.5,-1.6639328706971397,0.0,0.01290831924188085,0.0,722.5
103586.5,722.5,-1.662645385072071,102864.0,722.5,-1.6585462299984566,722.5,-1.664445835777465,0.0,-0.004099155073614469,0.0,722.5
104309.0,722.5,-1.6669856957590732,103586.5,722.5,-1.662645385072071,722.5,-1.6649079650174845,0.0,-0.004340310687002136,0.0,1486.0
105795.0,1486.0,-1.6663473004865488,104309.0,722.5,-1.6669856957590732,913.375,-1.6636311528290375,763.5,0.0006383952725244058,0.0,1486.0
107281.0,1486.0,-1.6701408659028494,105795.0,1486.0,-1.6663473004865488,1104.25,-1.6665298118051355,0.0,-0.003793565416300604,0.0,1486.0
108767.0,1486.0,-1.6716424990326757,107281.0,1486.0,-1.6701408659028494,1295.125,-1.6687790902952868,0.0,-0.0015016331298263186,0.0,1486.0
110253.0,1486.0,-1.634048867506073,108767.0,1486.0,-1.6716424990326757,1486.0,-1.6605448832320366,0.0,0.03759363152660278,0.0,1486.0
111739.0,1486.0,-1.6609455988767314,110253.0,1486.0,-1.634048867506073,1486.0,-1.6591944578295823,0.0,-0.02689673137065851,0.0,908.0
112647.0,908.0,-1.661195123511428,111739.0,1486.0,-1.6609455988767314,1341.5,-1.656958022231727,-578.0,-0.00024952463469651853,0.0,908.0
113555.0,908.0,-1.662346824782717,112647.0,908.0,-1.661195123511428,1197.0,-1.6546341036692374,0.0,-0.0011517012712889407,0.0,908.0
114463.0,908.0,-1.659453721603082,113555.0,908.0,-1.662346824782717,1052.5,-1.6609853171934896,0.0,0.0028931031796348705,0.0,1969.6666666666715
116432.66666666669,1969.6666666666715,-1.6625106221285877,114463.0,908.0,-1.659453721603082,1173.4166666666679,-1.6613765730064536,1061.6666666666715,-0.003056900525505668,0.0,1969.666666666657
118402.33333333331,1969.666666666657,-1.6645261916511898,116432.66666666669,1969.6666666666715,-1.6625106221285877,1438.8333333333321,-1.662209340041394,-1.4551915228366852e-11,-0.0020155695226020676,0.0,1969.6666666666715
